T[°C],G [W/m2],Tr. 1,Tr. 2,Tr. 3,Tr. 4,Tr. 5,Tr. 6,Tr. 7,Tr. 8,Tr. 9,Tr. 10,Tr. 11,Tr. 12,Tr. 13,Tr. 14,Tr. 15,Tr. 16,Tr. 17,Tr. 18,Tr. 19,Tr. 20,Tr. 21,Tr. 22,Tr. 23,Tr. 24,Tr. 25,Tr. 26,Tr. 27,Tr. 28,Tr. 29,Tr. 30,Tr. 31,Tr. 32,Tr. 33,Tr. 34,Tr. 35,Tr. 36,Tr. 37,Tr. 38,Tr. 39,Tr. 40,Tr. 41,Tr. 42,Feeder #2,Feeder #3,Feeder #1
27.99,0.0,0.0132352,0.0529408,0.0529408,0.0132352,0.033088,0.0132352,0.066176,0.039705599999999994,0.0132352,0.0264704,0.029117439999999998,0.0132352,0.0132352,0.066176,0.0132352,0.0132352,0.066176,0.0132352,0.0132352,0.0132352,0.066176,0.0132352,0.0132352,0.02249984,0.0264704,0.039705599999999994,0.0132352,0.039705599999999994,0.043676160000000006,0.04897024,0.019852799999999997,0.0132352,0.0529408,0.066176,0.0132352,0.0264704,0.04102912,0.039705599999999994,0.0529408,0.0264704,0.0264704,0.039705599999999994,2.087424,1.709056,1.32352
27.5,0.0,0.0128216,0.0512864,0.0512864,0.0128216,0.032054,0.0128216,0.064108,0.03846479999999999,0.0128216,0.0256432,0.02820752,0.0128216,0.0128216,0.064108,0.0128216,0.0128216,0.064108,0.0128216,0.0128216,0.0128216,0.064108,0.0128216,0.0128216,0.021796720000000002,0.0256432,0.03846479999999999,0.0128216,0.03846479999999999,0.04231128,0.047439920000000003,0.019232399999999997,0.0128216,0.0512864,0.064108,0.0128216,0.0256432,0.039746960000000005,0.03846479999999999,0.0512864,0.0256432,0.0256432,0.03846479999999999,2.022192,1.655648,1.2821599999999997
27.1,0.0,0.012407999999999999,0.049631999999999996,0.049631999999999996,0.012407999999999999,0.03102,0.012407999999999999,0.06204,0.03722399999999999,0.012407999999999999,0.024815999999999998,0.027297599999999998,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.012407999999999999,0.06204,0.012407999999999999,0.012407999999999999,0.021093599999999997,0.024815999999999998,0.03722399999999999,0.012407999999999999,0.03722399999999999,0.040946399999999994,0.045909599999999995,0.018611999999999997,0.012407999999999999,0.049631999999999996,0.06204,0.012407999999999999,0.024815999999999998,0.03846479999999999,0.03722399999999999,0.049631999999999996,0.024815999999999998,0.024815999999999998,0.03722399999999999,1.95696,1.6022399999999999,1.2407999999999992
26.55,0.0,0.011374,0.045496,0.045496,0.011374,0.028435,0.011374,0.05687,0.034122,0.011374,0.022748,0.0250228,0.011374,0.011374,0.05687,0.011374,0.011374,0.05687,0.011374,0.011374,0.011374,0.05687,0.011374,0.011374,0.0193358,0.022748,0.034122,0.011374,0.034122,0.0375342,0.0420838,0.017061,0.011374,0.045496,0.05687,0.011374,0.022748,0.035259399999999996,0.034122,0.045496,0.022748,0.022748,0.034122,1.7938800000000001,1.4687200000000002,1.1373999999999997
26.25,0.0,0.0095128,0.0380512,0.0380512,0.0095128,0.023782,0.0095128,0.047564,0.0285384,0.0095128,0.0190256,0.020928159999999998,0.0095128,0.0095128,0.047564,0.0095128,0.0095128,0.047564,0.0095128,0.0095128,0.0095128,0.047564,0.0095128,0.0095128,0.01617176,0.0190256,0.0285384,0.0095128,0.0285384,0.03139224,0.035197360000000004,0.0142692,0.0095128,0.0380512,0.047564,0.0095128,0.0190256,0.02948968,0.0285384,0.0380512,0.0190256,0.0190256,0.0285384,1.5003360000000001,1.228384,0.9512799999999993
25.9,0.0,0.0097196,0.0388784,0.0388784,0.0097196,0.024299,0.0097196,0.048598,0.0291588,0.0097196,0.0194392,0.021383120000000002,0.0097196,0.0097196,0.048598,0.0097196,0.0097196,0.048598,0.0097196,0.0097196,0.0097196,0.048598,0.0097196,0.0097196,0.016523319999999998,0.0194392,0.0291588,0.0097196,0.0291588,0.03207468,0.03596252,0.0145794,0.0097196,0.0388784,0.048598,0.0097196,0.0194392,0.03013076,0.0291588,0.0388784,0.0194392,0.0194392,0.0291588,1.532952,1.255088,0.9719600000000003
25.42,0.0,0.00959552,0.03838208,0.03838208,0.00959552,0.0239888,0.00959552,0.0479776,0.028786560000000003,0.00959552,0.01919104,0.021110143999999997,0.00959552,0.00959552,0.0479776,0.00959552,0.00959552,0.0479776,0.00959552,0.00959552,0.00959552,0.0479776,0.00959552,0.00959552,0.016312384000000003,0.01919104,0.028786560000000003,0.00959552,0.028786560000000003,0.031665216,0.035503424000000006,0.014393280000000001,0.00959552,0.03838208,0.0479776,0.00959552,0.01919104,0.029746112,0.028786560000000003,0.03838208,0.01919104,0.01919104,0.028786560000000003,1.5133824,1.2390656,0.9595520000000004
26.92,116.8,0.0101332,0.0405328,0.0405328,0.0101332,0.025332999999999998,0.0101332,0.050665999999999996,0.0303996,0.0101332,0.0202664,0.02229304,0.0101332,0.0101332,0.050665999999999996,0.0101332,0.0101332,0.050665999999999996,0.0101332,0.0101332,0.0101332,0.050665999999999996,0.0101332,0.0101332,0.01722644,0.0202664,0.0303996,0.0101332,0.0303996,0.03343956,0.03749284,0.0151998,0.0101332,0.0405328,0.050665999999999996,0.0101332,0.0202664,0.03141292,0.0303996,0.0405328,0.0202664,0.0202664,0.0303996,1.598184,1.308496,1.0133199999999998
29.08,346.02,0.010381360000000001,0.041525440000000004,0.041525440000000004,0.010381360000000001,0.025953399999999998,0.010381360000000001,0.051906799999999996,0.031144079999999998,0.010381360000000001,0.020762720000000002,0.022838992000000002,0.010381360000000001,0.010381360000000001,0.051906799999999996,0.010381360000000001,0.010381360000000001,0.051906799999999996,0.010381360000000001,0.010381360000000001,0.010381360000000001,0.051906799999999996,0.010381360000000001,0.010381360000000001,0.017648312,0.020762720000000002,0.031144079999999998,0.010381360000000001,0.031144079999999998,0.034258488,0.038411032,0.015572039999999999,0.010381360000000001,0.041525440000000004,0.051906799999999996,0.010381360000000001,0.020762720000000002,0.032182216,0.031144079999999998,0.041525440000000004,0.020762720000000002,0.020762720000000002,0.031144079999999998,1.6373232,1.3405408,1.0381360000000002
31.8,586.4,0.0107536,0.0430144,0.0430144,0.0107536,0.026884,0.0107536,0.053768,0.032260800000000006,0.0107536,0.0215072,0.023657920000000002,0.0107536,0.0107536,0.053768,0.0107536,0.0107536,0.053768,0.0107536,0.0107536,0.0107536,0.053768,0.0107536,0.0107536,0.01828112,0.0215072,0.032260800000000006,0.0107536,0.032260800000000006,0.03548688,0.03978832,0.016130400000000003,0.0107536,0.0430144,0.053768,0.0107536,0.0215072,0.03333616,0.032260800000000006,0.0430144,0.0215072,0.0215072,0.032260800000000006,1.696032,1.3886079999999998,1.0753599999999999
